"CONCAT('[',num.LAT,',',num.LON,'],')"
"[43.59901752,1.443977577],"
"[43.59342029,1.444145005],"
"[43.59421040,1.445326340],"
"[43.61089179,1.439982724],"
"[43.60152815,1.443901192],"
"[43.60427058,1.445664753],"
"[43.59831288,1.447141867],"
"[43.60352330,1.446327967],"
"[43.61014970,1.440360988],"
"[43.60659771,1.441987961],"
"[43.59992520,1.448550184],"
"[43.59929765,1.442719316],"
"[43.60770034,1.438974057],"
"[43.60621225,1.446123247],"
"[43.61024675,1.442885978],"
"[43.59578843,1.442845991],"
"[43.59761856,1.448398226],"
"[43.60433878,1.450073266],"
"[43.60655189,1.442596182],"
"[43.59483435,1.443526807],"
"[43.60031370,1.441293604],"
"[43.59714109,1.440346496],"
"[43.59565002,1.449290544],"
"[43.60923189,1.439058780],"
"[43.60511396,1.448133366],"
"[43.59566044,1.446044996],"
"[43.59793767,1.449368691],"
"[43.59845822,1.443223829],"
"[43.60445897,1.439602039],"
"[43.59926497,1.446981387],"
"[43.60060086,1.447244703],"
"[43.59507848,1.446282765],"
"[43.60236458,1.443842706],"
"[43.60236536,1.447918320],"
"[43.60170828,1.442571104],"
"[43.60124027,1.440576232],"
"[43.60139527,1.440720926],"
"[43.60145031,1.450840319],"
"[43.60155193,1.447678859],"
"[43.60576527,1.447026607],"
"[43.60941544,1.440652318],"
"[43.59961980,1.443912675],"
"[43.59842506,1.445441974],"
"[43.60258077,1.449882532],"
"[43.60286321,1.444771486],"
"[43.59974526,1.451242823],"
"[43.60457098,1.439896498],"
"[43.60809123,1.441256047],"
"[43.59437835,1.441754800],"
"[43.59867787,1.450861126],"
"[43.60132974,1.439867845],"
"[43.60549497,1.446339724],"
"[43.60619051,1.439830327],"
"[43.59593871,1.447995001],"
"[43.59997907,1.447198582],"
"[43.60765635,1.439049516],"
"[43.59795552,1.448686950],"
"[43.60041501,1.440795515],"
"[43.60980896,1.443801577],"
"[43.60219426,1.444565547],"
"[43.59727844,1.441185298],"
"[43.60460506,1.445767732],"
"[43.60455083,1.440404937],"
"[43.60972413,1.443518783],"
"[43.59381759,1.442896259],"
"[43.59422806,1.443963398],"
"[43.61023164,1.439095160],"
"[43.59707383,1.442701723],"
"[43.60656677,1.439027825],"
"[43.61106984,1.437834750],"
"[43.59924333,1.444033758],"
"[43.59830888,1.446844678],"
"[43.60311203,1.438521541],"
"[43.59514649,1.443977148],"
"[43.60612273,1.447500672],"
"[43.59481151,1.445843648],"
"[43.60808456,1.437427979],"
"[43.60137497,1.441885894],"
"[43.59960892,1.441101014],"
"[43.59998544,1.443655606],"
"[43.60033655,1.447003676],"
"[43.60666689,1.445789564],"
"[43.59630385,1.447700824],"
"[43.60045473,1.445080598],"
"[43.61016476,1.438142875],"
"[43.59786420,1.448590175],"
"[43.60539582,1.446329859],"
"[43.59625422,1.446686377],"
"[43.60736183,1.443913524],"
"[43.60161822,1.439897636],"
"[43.60029047,1.449606227],"
"[43.60724300,1.445787283],"
"[43.59888564,1.440871739],"
"[43.59792344,1.443621465],"
"[43.59637289,1.444800574],"
"[43.59634790,1.444280968],"
"[43.59790803,1.448502351],"
"[43.59379392,1.443144587],"
"[43.59551425,1.441205571],"
"[43.59688019,1.444366499],"
"[43.59556743,1.447162154],"
"[43.59706700,1.442862926],"
"[43.60104800,1.442340196],"
"[43.60610185,1.439931702],"
"[43.59912266,1.442426485],"
"[43.60818305,1.437388290],"
"[43.60148430,1.442651145],"
"[43.59742708,1.448217288],"
"[43.59499050,1.445095905],"
"[43.61083431,1.437060228],"
"[43.59667541,1.449896224],"
"[43.61010971,1.440733696],"
"[43.60104396,1.448063406],"
"[43.59700297,1.441452457],"
"[43.59770955,1.448470235],"
"[43.60039228,1.449814229],"
"[43.59981273,1.448218582],"
"[43.60216259,1.442881599],"
"[43.60679487,1.445934971],"
"[43.59533698,1.444083772],"
"[43.59960564,1.444197946],"
"[43.59616171,1.447171811],"
"[43.60415023,1.441406239],"
"[43.60929817,1.444644687],"
"[43.60585144,1.442056564],"
"[43.59908349,1.442192126],"
"[43.60148248,1.445859624],"
"[43.60515185,1.445592759],"
"[43.60258606,1.443576912],"
"[43.60025635,1.448405505],"
"[43.59872215,1.448122432],"
"[43.59742477,1.447375035],"
"[43.60025175,1.445383069],"
"[43.60747606,1.439698355],"
"[43.61076133,1.440989621],"
"[43.60372949,1.450286948],"
"[43.59878599,1.451539678],"
"[43.59576260,1.445608864],"
"[43.59454402,1.446705117],"
"[43.59867185,1.447058412],"
"[43.59915595,1.451604618],"
"[43.59803209,1.445006047],"
"[43.59868670,1.442809225],"
"[43.60346678,1.447481505],"
"[43.60693312,1.440158234],"
"[43.59889369,1.444141767],"
"[43.59744648,1.444302520],"
"[43.59636156,1.444627449],"
